task_id	family	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	search_stage	alphas	output
110	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_huber_sgd_none_0_fine.json
111	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_huber_sgd_pca_128_fine.json
112	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_small_mlp_none_0_fine.json
113	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_small_mlp_pca_128_fine.json
114	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_ridge_none_0_fine.json
115	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_ridge_pca_128_fine.json
116	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0_fine.json
117	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_huber_sgd_pca_128_fine.json
118	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_small_mlp_none_0_fine.json
119	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_small_mlp_pca_128_fine.json
